course_number,course_name,section_order,section_name,lesson_count
001,Diploma Course in Modern Applied Psychology (DiMAP),1,Section 1: The Foundations of Modern Applied Psychology,23
001,Diploma Course in Modern Applied Psychology (DiMAP),2,Section 2: The Behavioural School of Psychological Thinking,21
001,Diploma Course in Modern Applied Psychology (DiMAP),3,Section 3: The Psychoanalytic School of Psychological Thought,20
001,Diploma Course in Modern Applied Psychology (DiMAP),4,Section 4: The Developmental School of Psychological Thought,27
001,Diploma Course in Modern Applied Psychology (DiMAP),5,Section 5: The Cognitive School of Psychological Thought,26
001,Diploma Course in Modern Applied Psychology (DiMAP),6,Section 6: The Humanistic School of Psychological Thought,30
001,Diploma Course in Modern Applied Psychology (DiMAP),7,Section 7: The School of Social-Psychological Thought and Impact,27
001,Diploma Course in Modern Applied Psychology (DiMAP),8,Section 8: End of DMAP Course Summary and Graduation,1
002,A Beginner's Guide to Neuro-Linguistic Programming (NLP),1,SECTION 1: The Foundational Ideas of Neuro-Linguistic Programming,15
002,A Beginner's Guide to Neuro-Linguistic Programming (NLP),2,SECTION 2: An Overview of the Subjective Human Experience,12
002,A Beginner's Guide to Neuro-Linguistic Programming (NLP),3,SECTION 3: NLP Applications for Outcomes and Personal Growth,13
003,Neuro-Linguistic Programming (NLP) Practitioner Training,1,Section 1: The Foundational Ideas of Neuro-Linguistic Programming,18
003,Neuro-Linguistic Programming (NLP) Practitioner Training,2,Section 2: Neuro-Logical Insights Into the Human Experience,17
003,Neuro-Linguistic Programming (NLP) Practitioner Training,3,Section 3: Principles for Self-Awareness and Setting Future Goals,20
003,Neuro-Linguistic Programming (NLP) Practitioner Training,4,Section 4: A Practical Framework for Effective NLP Coaching,10
003,Neuro-Linguistic Programming (NLP) Practitioner Training,5,Section 5: NLP States and the Basis of Human Responses,17
003,Neuro-Linguistic Programming (NLP) Practitioner Training,6,"Section 6: Virginia Satir, Fritz Perls, and Milton H. Erickson",8
003,Neuro-Linguistic Programming (NLP) Practitioner Training,7,"Section 7: NLP Change Work: Processes, Models, and Principles",18
003,Neuro-Linguistic Programming (NLP) Practitioner Training,8,"Section 8: NLP Anchoring, Learning, and Conditioned Behaviour",13
003,Neuro-Linguistic Programming (NLP) Practitioner Training,9,Section 9: NLP Communication Skills and Language Patterns,17
003,Neuro-Linguistic Programming (NLP) Practitioner Training,10,Section 10: NLP Strategies for Increasing Self-Effectiveness,8
003,Neuro-Linguistic Programming (NLP) Practitioner Training,11,"Section 11: Core Human Values, Priorities, and Inner Alignment",8
003,Neuro-Linguistic Programming (NLP) Practitioner Training,12,Section 12: Summarising Your Learning Journey and Close,1
004,Neuro-Linguistic Programming Master Practitioner Course,1,SECTION 1: Neuro-Linguistic programming: Revisiting the Basics,24
004,Neuro-Linguistic Programming Master Practitioner Course,2,"SECTION 2: Neuro-Logical Reasoning, Evaluating Beliefs and Thinking",31
004,Neuro-Linguistic Programming Master Practitioner Course,3,"SECTION 3: NLP for Future Vision, a Life Mission, Direction and Purpose",17
004,Neuro-Linguistic Programming Master Practitioner Course,4,SECTION 4: Eliminating Mental Barriers to Life Progress and Advancement,23
004,Neuro-Linguistic Programming Master Practitioner Course,5,"SECTION 5: NLP for Personality Flexibility, Identity Growth and Authenticity",13
004,Neuro-Linguistic Programming Master Practitioner Course,6,SECTION 6: Advanced NLP Communication Skills and Language Patterns,28
004,Neuro-Linguistic Programming Master Practitioner Course,7,"SECTION 7 - NLP for Influence, Leadership, Business and Entrepreneurship",16
004,Neuro-Linguistic Programming Master Practitioner Course,8,SECTION 8: Solidifying Your Learning & Master Graduation,2
005,Mindset Mastery - The Ultimate NLP-Based Guide to Self-Discovery,1,SECTION 1: Neuro-Linguistic Programming for Increasing Self-Awareness,16
005,Mindset Mastery - The Ultimate NLP-Based Guide to Self-Discovery,2,SECTION 2: An Overview of the Subjective Human Experience,13
005,Mindset Mastery - The Ultimate NLP-Based Guide to Self-Discovery,3,SECTION 3: Applying NLP for Outcomes and Personal Growth,12
006,The CBT Toolkit - Core Principles and Real-World Applications,1,SECTION 1: The Foundational Ideas of Cognitive Behaviour Therapy,17
006,The CBT Toolkit - Core Principles and Real-World Applications,2,SECTION 2: Cognitive Behaviour Therapy for Personal Effectiveness,17
006,The CBT Toolkit - Core Principles and Real-World Applications,3,SECTION 3: Applications & Implications of Improved Self-Awareness,12
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,1,Section 1: The Central Ideas of Cognitive Behaviour Therapy,17
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,2,Section 2: The Psychology Behind Cognitive Behaviour Therapy,22
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,3,Section 3: Cognitive Behavioural Models for Understanding People,19
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,4,Section 4: The Construction of Cognition and Core Beliefs,22
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,5,Section 5: Values as a Foundation for Sound Decision Making,9
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,6,Section 6: Cognitive-Communication Skills and Principles,15
007,Cognitive Behavioural Therapy (CBT) Practitioner Course,7,Section 7: The Cognitive Behaviour Therapy Goal-Setting Process,15
008,Cognitive Behavioural Therapy for Mental Health and Wellness,1,SECTION 1: The Foundational Ideas of Cognitive Behavioural Therapy,19
008,Cognitive Behavioural Therapy for Mental Health and Wellness,2,SECTION 2: Cognitive Behaviour Principles for Active Self-Managemen,18
008,Cognitive Behavioural Therapy for Mental Health and Wellness,3,SECTION 3: Practical Applications and Implications of Heightened Self-Awareness,15
009,Life Coaching Certificate Course (Beginner to Advanced),1,SECTION ONE: The Foundational Principles of Life Coaching,23
009,Life Coaching Certificate Course (Beginner to Advanced),2,SECTION TWO: Awareness and the Pre-requisites of Growth,17
009,Life Coaching Certificate Course (Beginner to Advanced),3,SECTION 3: According to the Pattern of Human Behaviour,20
009,Life Coaching Certificate Course (Beginner to Advanced),4,SECTION FOUR: Coaching Breakthrough Sessions,12
009,Life Coaching Certificate Course (Beginner to Advanced),5,SECTION FIVE: The Values and Motivations for Decision Making,14
009,Life Coaching Certificate Course (Beginner to Advanced),6,SECTION SIX: Communication Skills and People Principles,21
009,Life Coaching Certificate Course (Beginner to Advanced),7,SECTION 7: Goal Setting for Action Taking & Results,15
010,Life Coaching Blueprint - The Complete Process and Practices,1,Section 1: Fundamental Principles and History of Life Coaching,15
010,Life Coaching Blueprint - The Complete Process and Practices,2,Section 2: The Prerequisites of Self-Awareness and Growth,34
010,Life Coaching Blueprint - The Complete Process and Practices,3,Section 3: Coaching Styles and Principles of Effective Coaching,11
010,Life Coaching Blueprint - The Complete Process and Practices,4,Section 4: Overcoming Limiting Self-Beliefs and Convictions,15
